
#DESCRIPTION_OF_POLYGONS
#Number of Obstacle
27
#Obstacle #0
#Number of Polygons
5
#Polygon #0
#Number of Vertices
4
#------------
47.38124 29.456718
-3.2358627 -4.858719
-2.785324 -4.02359
#Polygon #17
#Number of Vertices
4
#------------
2.217308 5.544182
1.5994263 4.923073
2.7805405 -0.2920227
3.2310715 0.5431061
#Polygon #18
#Number of Vertices
4
#------------
2.217308 5.544182
1.5994263 4.923073
2.7805405 -0.2920227
3.2310715 0.5431061
#Polygon #19
#Number of Vertices
4
#------------
-0.5889511 3.487732
-1.2068481 2.8666153
-0.025733948 -2.3484879
0.42481995 -1.5133514
#Polygon #20
#Number of Vertices
4
#------------
5.453209 7.315819
4.8353195 6.69471
6.0164337 1.4796066
6.46698 2.3147354
#Polygon #21
#Number of Vertices
4
#------------
8.499229 8.801041
7.8813477 8.179932
9.062462 2.9648285
9.5130005 3.7999573
#Polygon #22
#Number of Vertices
4
#------------
11.591919 10.667618
10.97403 10.046509
12.155144 4.8314056
12.605682 5.6665344
#Polygon #23
#Number of Vertices
4
#------------
14.589661 12.390991
13.971779 11.769882
15.152893 6.554779
15.603432 7.389908
#Polygon #24
#Number of Vertices
4
#------------
17.634071 14.495735
17.01619 13.874619
18.197304 8.659523
18.647842 9.494652
#Polygon #25
#Number of Vertices
4
#------------
23.368896 17.39376
22.751007 16.772652
23.932121 11.5575485
24.382668 12.392677
#Polygon #26
#Number of Vertices
4
#------------
22.583664 16.986656
20.467705 15.194099
21.219193 10.263809
23.740646 11.890633
#Initial Configuration
92.11899 89.2389 0
#Obstacle #2
#Number of Polygons
54
#Polygon #0
#Number of Vertices
8
#------------
-20.187698 4.07679
-30.129738 -2.57576
-34.95484 -7.1019516
-26.630745 -6.906929
-22.524628 -6.2761917
-17.88205 -3.3189087
-12.742233 2.158554
-14.336021 4.0532837
#Polygon #1
#Number of Vertices
3
#------------
-25.604927 -6.775963
-23.530197 -10.043327
-17.500664 -3.0145493
#Polygon #2
#Number of Vertices
4
#------------
-34.78985 -6.7546387
-43.017303 -15.327492
-42.428604 -15.52203
-34.0504 -6.9186096
#Polygon #3
#Number of Vertices
6
#------------
-16.40472 -6.8726654
-17.790867 -13.19558
-12.833759 -17.134117
-1.898056 -11.85714
1.3739777 -9.862541
-2.8189545 0.33822632
#Polygon #4
#Number of Vertices
6
#------------
-13.866661 7.661865
-20.324646 4.0941544
-23.507736 -0.56760406
-18.718548 -3.2785873
-5.638523 5.397629
-7.740116 7.8412094
#Polygon #5
#Number of Vertices
4
#------------
52.751144 35.399643
41.090828 34.90692
-17.538155 5.855049
-5.8863792 1.841568
#Polygon #6
#Number of Vertices
5
#------------
-6.8353424 7.630394
-15.63345 2.9068756
-8.335705 -8.042168
-1.7891426 -6.7151184
-1.3121414 -2.4756317
#Polygon #7
#Number of Vertices
3
#------------
-23.243134 -10.688492
-32.68272 -16.835949
-18.726086 -19.047245
#Polygon #8
#Number of Vertices
3
#------------
-11.212715 -2.402893
-23.243134 -10.688492
-18.726086 -19.047245
#Polygon #9
#Number of Vertices
3
#------------
-42.88788 -15.717457
-28.039139 -16.879929
-31.028473 -15.68116
#Polygon #10
#Number of Vertices
3
#------------
-48.32374 -22.875015
-26.582642 -20.194153
-25.967476 -18.97091
#Polygon #11
#Number of Vertices
3
#------------
-48.32374 -22.875015
-25.967476 -18.97091
-28.039139 -16.879929
#Polygon #12
#Number of Vertices
3
#------------
-48.32374 -22.875015
-28.039139 -16.879929
-42.88788 -15.717457
#Polygon #13
#Number of Vertices
3
#------------
-48.32374 -22.875015
-29.45277 -24.228489
-26.582642 -20.194153
#Polygon #14
#Number of Vertices
3
#------------
-52.751137 -31.226826
-40.913002 -30.788788
-36.345222 -28.101189
#Polygon #15
#Number of Vertices
3
#------------
-52.751137 -31.226826
-36.345222 -28.101189
-29.45277 -24.228489
#Polygon #16
#Number of Vertices
3
#------------
-52.751137 -31.226826
-29.45277 -24.228489
-48.32374 -22.875015
#Polygon #17
#Number of Vertices
3
#------------
-52.751137 -31.226826
-47.645325 -34.35056
-40.913002 -30.788788
#Polygon #18
#Number of Vertices
3
#------------
-52.4863 -34.468742
-47.645325 -34.35056
-52.751137 -31.226826
#Polygon #19
#Number of Vertices
3
#------------
-52.4863 -34.468742
-50.8852 -35.399647
-47.645325 -34.35056
#Polygon #20
#Number of Vertices
3
#------------
-17.09695 -18.97749
-30.509678 -22.873398
-29.359772 -24.28809
#Polygon #21
#Number of Vertices
3
#------------
-17.09695 -18.97749
-30.432308 -17.835842
-30.509678 -22.873398
#Polygon #22
#Number of Vertices
3
#------------
-12.772369 -17.473133
-30.432308 -17.835842
-17.09695 -18.97749
#Polygon #23
#Number of Vertices
3
#------------
-30.432308 -17.835842
-12.772369 -17.473133
-13.806179 -14.308628
#Polygon #24
#Number of Vertices
3
#------------
-30.432308 -17.835842
-13.806179 -14.308628
-19.54142 -12.724884
#Polygon #25
#Number of Vertices
3
#------------
-13.806179 -14.308628
-16.240433 -11.977272
-19.54142 -12.724884
#Polygon #26
#Number of Vertices
4
#------------
-10.560326 4.166176
-25.2431 -4.302841
-22.640743 -13.269775
-4.912632 -4.3403854
#Polygon #27
#Number of Vertices
8
#------------
-20.187698 4.07679
-30.129738 -2.57576
-34.95484 -7.1019516
-26.630745 -6.906929
-22.524628 -6.2761917
-17.88205 -3.3189087
-12.742233 2.158554
-14.336021 4.0532837
#Polygon #28
#Number of Vertices
3
#------------
-25.604927 -6.775963
-23.530197 -10.043327
-17.500664 -3.0145493
#Polygon #29
#Number of Vertices
3
#------------
-23.243134 -10.688492
-32.68272 -16.835949
-18.726086 -19.047245
#Polygon #30
#Number of Vertices
3
#------------
-11.212715 -2.402893
-23.243134 -10.688492
-18.726086 -19.047245
#Polygon #31
#Number of Vertices
4
#------------
-34.78985 -6.7546387
-43.017303 -15.327492
-42.428604 -15.52203
-34.0504 -6.9186096
#Polygon #32
#Number of Vertices
3
#------------
-47.645325 -34.35056
-52.4863 -34.468742
-50.8852 -35.399647
#Polygon #33
#Number of Vertices
3
#------------
-47.645325 -34.35056
-52.751137 -31.226826
-52.4863 -34.468742
#Polygon #34
#Number of Vertices
3
#------------
-40.913002 -30.788788
-52.751137 -31.226826
-47.645325 -34.35056
#Polygon #35
#Number of Vertices
3
#------------
-52.751137 -31.226826
-40.913002 -30.788788
-36.345222 -28.101189
#Polygon #36
#Number of Vertices
3
#------------
-52.751137 -31.226826
-36.345222 -28.101189
-29.45277 -24.228489
#Polygon #37
#Number of Vertices
3
#------------
-52.751137 -31.226826
-29.45277 -24.228489
-48.32374 -22.875015
#Polygon #38
#Number of Vertices
3
#------------
-26.582642 -20.194153
-48.32374 -22.875015
-29.45277 -24.228489
#Polygon #39
#Number of Vertices
3
#------------
-48.32374 -22.875015
-26.582642 -20.194153
-25.967476 -18.97091
#Polygon #40
#Number of Vertices
3
#------------
-48.32374 -22.875015
-25.967476 -18.97091
-28.039139 -16.879929
#Polygon #41
#Number of Vertices
3
#------------
-48.32374 -22.875015
-28.039139 -16.879929
-42.88788 -15.717457
#Polygon #42
#Number of Vertices
3
#------------
-28.039139 -16.879929
-31.028473 -15.68116
-42.88788 -15.717457
#Polygon #43
#Number of Vertices
3
#------------
-17.09695 -18.97749
-30.509678 -22.873398
-29.359772 -24.28809
#Polygon #44
#Number of Vertices
3
#------------
-17.09695 -18.97749
-30.432308 -17.835842
-30.509678 -22.873398
#Polygon #45
#Number of Vertices
3
#------------
-12.772369 -17.473133
-30.432308 -17.835842
-17.09695 -18.97749
#Polygon #46
#Number of Vertices
3
#------------
-30.432308 -17.835842
-12.772369 -17.473133
-13.806179 -14.308628
#Polygon #47
#Number of Vertices
3
#------------
-30.432308 -17.835842
-13.806179 -14.308628
-19.54142 -12.724884
#Polygon #48
#Number of Vertices
3
#------------
-13.806179 -14.308628
-16.240433 -11.977272
-19.54142 -12.724884
#Polygon #49
#Number of Vertices
4
#------------
-10.560326 4.166176
-25.2431 -4.302841
-22.640743 -13.269775
-4.912632 -4.3403854
#Polygon #50
#Number of Vertices
6
#------------
-16.40472 -6.8726654
-17.790867 -13.19558
-12.833759 -17.134117
-1.898056 -11.85714
1.3739777 -9.862541
-2.8189545 0.33822632
#Polygon #51
#Number of Vertices
6
#------------
-13.866661 7.661865
-20.324646 4.0941544
-23.507736 -0.56760406
-18.718548 -3.2785873
-5.638523 5.397629
-7.740116 7.8412094
#Polygon #52
#Number of Vertices
4
#------------
52.751144 35.399643
41.090828 34.90692
-17.538155 5.855049
-5.8863792 1.841568
#Polygon #53
#Number of Vertices
5
#------------
-6.8353424 7.630394
-15.63345 2.9068756
-8.335705 -8.042168
-1.7891426 -6.7151184
-1.3121414 -2.4756317
#Initial Configuration
65.67987 77.58444 0
#Obstacle #3
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
-6.144188 1.6662216
-6.144188 -1.6662216
6.1441956 -1.6662216
6.1441956 1.6662216
#Initial Configuration
71.33511 41.238983 0
#Obstacle #4
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
0.7289734 8.331108
-4.0614166 -7.081444
-0.31241608 -8.747665
4.0614166 8.747665
#Initial Configuration
73.83445 34.36582 0
#Obstacle #5
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
-0.72896576 5.7276382
-2.3951874 -5.311081
0.93725586 -5.7276363
2.395195 5.311081
#Initial Configuration
81.957275 35.51135 0
#Obstacle #6
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
-0.7289734 5.7276382
-2.3951874 -5.311081
0.93725586 -5.7276363
2.3951874 5.311081
#Initial Configuration
90.08011 35.0948 0
#Obstacle #7
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
5.7276382 1.3538017
-5.102806 1.770359
-5.7276382 -1.1455307
5.5193634 -1.7703629
#Initial Configuration
86.747665 41.13485 0
#Obstacle #8
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
5.7276382 1.3538036
-5.102806 1.770361
-5.7276382 -1.1455288
5.519356 -1.770361
#Initial Configuration
85.49801 31.137526 0
#Obstacle #9
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
-0.72896576 5.7276382
-2.3951874 -5.311081
0.93725586 -5.7276363
2.395195 5.311081
#Initial Configuration
96.53671 35.09479 0
#Obstacle #10
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
-0.7289734 5.7276382
-2.3951874 -5.311081
0.93725586 -5.7276363
2.3951874 5.311081
#Initial Configuration
104.659546 34.67824 0
#Obstacle #11
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
5.7276382 1.3538017
-5.102806 1.770359
-5.7276382 -1.1455307
5.5193634 -1.7703629
#Initial Configuration
101.3271 40.718292 0
#Obstacle #12
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
5.7276382 1.3538036
-5.102806 1.770361
-5.7276382 -1.1455288
5.519356 -1.770361
#Initial Configuration
100.077446 30.720968 0
#Obstacle #13
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
-6.7690277 2.082779
-7.39386 -1.6662178
6.3524704 -2.082775
7.39386 1.4579468
#Initial Configuration
116.53138 41.238983 0
#Obstacle #14
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
0.20828247 8.435247
-3.1241608 -8.226969
0.20828247 -8.435247
3.1241684 8.226969
#Initial Configuration
114.552734 31.76235 0
#Obstacle #15
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
7.706276 1.6662216
-5.623497 1.4579468
-7.706275 -1.6662216
5.8317757 -1.4579468
#Initial Configuration
22.077436 118.09346 0
#Obstacle #16
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
1.9786377 6.7690277
-5.5193596 -6.3524704
-0.93725014 -6.7690277
5.5193596 6.5607452
#Initial Configuration
13.017357 111.11616 0
#Obstacle #17
#Number of Polygons
1
#Polygon #0
#Number of Vertices
6
#------------
6.6648865 1.2496643
-7.706276 2.0827713
-9.789053 -1.6662216
5.8317757 -2.082779
8.7476635 -2.082779
9.789051 1.0413818
#Initial Configuration
16.870495 105.5968 0
#Obstacle #18
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
2.395193 3.1241608
-1.1455288 3.1241608
-2.395195 -2.2910614
1.1455269 -3.1241684
#Initial Configuration
24.889187 107.05475 0
#Obstacle #19
#Number of Polygons
1
#Polygon #0
#Number of Vertices
5
#------------
2.4993324 1.4579468
-3.1241646 1.4579468
-3.3324432 -0.833107
2.2910557 -1.4579391
3.3324432 1.0413895
#Initial Configuration
24.576769 109.97063 0
#Obstacle #20
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
-0.4165573 8.122833
-2.707611 -7.914551
-0.20827866 -8.122826
2.707611 8.122833
#Initial Configuration
37.073433 111.22029 0
#Obstacle #21
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
3.540722 5.7276382
-5.2069435 -4.061409
-3.540722 -5.7276306
5.2069435 4.0614166
#Initial Configuration
40.197598 108.61682 0
#Obstacle #22
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
-1.770359 6.0400543
-3.2283058 4.7903824
0.7289734 -6.0400543
3.2283058 -2.4993362
#Initial Configuration
45.716957 107.887856 0
#Obstacle #23
#Number of Polygons
1
#Polygon #0
#Number of Vertices
4
#------------
1.3538055 8.955948
-5.5193596 -6.0400467
-4.47797 -8.95594
5.5193596 8.539391
#Initial Configuration
51.340454 110.59546 0
#Obstacle #24
#Number of Polygons
3
#Polygon #0
#Number of Vertices
4
#------------
-16.642475 -8.224495
-24.62757 -11.412483
-22.548676 -11.775738
-16.941229 -9.33128
#Polygon #1
#Number of Vertices
4
#------------
24.627571 11.775742
14.150536 6.687649
-18.86489 -11.513351
-13.303833 -10.56044
#Polygon #2
#Number of Vertices
5
#------------
14.000027 6.56995
-2.7736511 -0.14327621
-22.668455 -11.674076
-18.781145 -11.496376
-4.90683 -4.673397
#Initial Configuration
41.587822 53.59266 0
#Obstacle #25
#Number of Polygons
4
#Polygon #0
#Number of Vertices
3
#------------
4.5181828 7.683548
-3.4069061 0.75876236
-4.518182 -3.6513977
#Polygon #1
#Number of Vertices
3
#------------
1.9798527 4.291897
-4.5012064 -3.7351418
-3.6071663 -5.9950905
#Polygon #2
#Number of Vertices
3
#------------
-2.2559338 -3.4273071
-3.539237 -6.1286316
-2.1778173 -7.683548
#Polygon #3
#Number of Vertices
4
#------------
-2.542264 -3.1092834
-3.775776 -5.6261406
-2.900979 -6.9309616
-2.2876282 -4.3654404
#Initial Configuration
14.573532 50.710293 0
#Obstacle #26
#Number of Polygons
1
#Polygon #0
#Number of Vertices
5
#------------
7.3550606 4.391083
-1.6466541 4.391083
-9.770153 -4.391079
1.8662109 -4.171524
9.770157 0.8782196
#Initial Configuration
32.823326 66.08576 0

#BOUND_OF_WORKING_SPACE 
0  0 128.0 128.0
#Height
0
#Number of Places
0
#Number of Walls
0
#Number of Blocks
0
#Number of Stairs
-1 -1 null
60 20 null
#X Y Width Height Description
